lgchr	newstart	newfin	id	w	chr	oldstart	oldfin	ori
23	3155	61583	3	W	216	1	58429	+
23	61684	65082	5	W	10073	1	3399	+
23	65183	72890	7	W	2459	1	7708	+
23	72991	91831	9	W	903	1	18841	+
23	91932	93497	11	W	26202	1	1566	+
23	93598	95092	13	W	27625	1	1495	+
23	95193	121297	15	W	657	1	26105	+
23	121398	141599	17	W	845	1	20202	+
23	141700	211451	19	W	171	1	69752	+
23	211552	220832	21	W	1931	1	9281	+
23	220833	230323	22	W	1852	1	9491	+
23	230424	296219	24	W	192	1	65796	+
23	296320	298030	26	W	23829	1	1711	+
23	298131	305881	28	W	2441	1	7751	+
23	305982	309411	30	W	9918	1	3430	+
23	309512	322964	32	W	1242	1	13453	+
23	322965	366948	33	W	346	1	43984	-
23	366949	372636	34	W	4238	1	5688	+
23	372737	374492	36	W	23171	1	1756	+
23	374593	399247	38	W	696	1	24655	+
23	399348	437268	40	W	416	1	37921	+
23	437369	549067	42	W	74	1	111699	+
23	549168	575763	44	W	648	1	26596	+
23	575864	581989	46	W	3712	1	6126	+
23	582090	588441	48	W	3457	1	6352	+
23	588442	653515	49	W	195	1	65074	+
23	653616	686952	51	W	498	1	33337	-
23	687053	1048356	53	W	33	1	361304	+
23	1048457	1320546	55	W	35	1	272090	-
23	1320647	13958700	57	W	23	1	12638054	-
24	1	12590	1	W	1330	1	12590	+
24	12691	15302	3	W	14492	1	2612	+
24	15403	17285	5	W	21347	1	1883	+
24	17386	20666	7	W	10669	1	3281	+
24	20767	23165	9	W	16019	1	2399	+
24	23266	26414	11	W	11376	1	3149	+
24	26515	29714	13	W	11107	1	3200	+
24	29815	33143	15	W	10412	1	3329	+
24	33244	34884	17	W	24957	1	1641	+
24	34985	39176	19	W	7277	1	4192	+
24	39277	40489	21	W	34476	1	1213	+
24	40590	64634	23	W	714	1	24045	+
24	64735	72429	25	W	2467	1	7695	+
24	72530	76711	27	W	7299	1	4182	+
24	76812	78378	29	W	26176	1	1567	+
24	78479	94977	31	W	1010	1	16499	+
24	95078	97526	33	W	15627	1	2449	+
24	97627	211829	35	W	71	1	114203	+
24	211930	212943	37	W	41574	1	1014	+
24	213044	225928	39	W	1304	1	12885	+
24	226029	227053	41	W	41138	1	1025	+
24	227154	229862	43	W	13911	1	2709	+
24	229963	262187	45	W	524	1	32225	+
24	262288	408156	47	W	50	1	145869	+
24	408257	417430	49	W	1970	1	9174	+
24	417531	422473	51	W	5368	1	4943	+
24	422574	424260	53	W	24206	1	1687	+
24	424361	428001	55	W	9044	1	3641	+
24	428102	438539	57	W	1625	1	10438	+
24	438640	439682	59	W	40435	1	1043	+
24	439783	462192	61	W	770	1	22410	+
24	462293	487803	63	W	674	1	25511	-
24	487904	495263	65	W	2642	1	7360	+
24	495364	496454	67	W	38607	1	1091	-
24	496555	996533	69	W	31	1	499979	-
24	996634	10366989	71	W	24	1	9370356	-
